::1()--query--tables(delete from table_online where time<1656468234) (09:13:54 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468240) (09:14:00 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468243) (09:14:03 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468244) (09:14:04 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468244) (09:14:04 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468244) (09:14:04 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468244) (09:14:04 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468244) (09:14:04 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468244) (09:14:04 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468244) (09:14:04 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468245) (09:14:05 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468245) (09:14:05 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468245) (09:14:05 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468245) (09:14:05 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468245) (09:14:05 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468245) (09:14:05 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468246) (09:14:06 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468246) (09:14:06 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468246) (09:14:06 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468246) (09:14:06 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468246) (09:14:06 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468246) (09:14:06 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468246) (09:14:06 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468246) (09:14:06 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468246) (09:14:06 29/06/2022)
::1()--query--tables(delete from table_online where time<1656468246) (09:14:06 29/06/2022)
::1(admin)--insert--counters(3) (09:30:24 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469224) (09:30:24 29/06/2022)
::1(admin)--insert--online(264914) (09:30:24 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469225) (09:30:25 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469225) (09:30:25 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469225) (09:30:25 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469225) (09:30:25 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469225) (09:30:25 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469225) (09:30:25 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469225) (09:30:25 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469225) (09:30:25 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469225) (09:30:25 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469225) (09:30:25 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469225) (09:30:25 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469225) (09:30:25 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469225) (09:30:25 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469225) (09:30:25 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469225) (09:30:25 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469225) (09:30:25 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469225) (09:30:25 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469225) (09:30:25 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469226) (09:30:26 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469226) (09:30:26 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469227) (09:30:27 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469274) (09:31:14 29/06/2022)
::1(admin)--update--bannerqc([["","type","=","logo"]]) (09:31:25 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469380) (09:33:00 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469380) (09:33:00 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469380) (09:33:00 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469380) (09:33:00 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469381) (09:33:01 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469381) (09:33:01 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469381) (09:33:01 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469381) (09:33:01 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469381) (09:33:01 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469381) (09:33:01 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469381) (09:33:01 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469381) (09:33:01 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469381) (09:33:01 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469381) (09:33:01 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469382) (09:33:02 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469382) (09:33:02 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469382) (09:33:02 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469382) (09:33:02 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469382) (09:33:02 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469382) (09:33:02 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469385) (09:33:05 29/06/2022)
::1(admin)--update--setting([]) (09:35:34 29/06/2022)
::1(admin)--query--tables(delete from table_seo where idmuc =  and com = 'setting' and act = 'capnhat' and type = ) (09:35:34 29/06/2022)
::1(admin)--insert--seo(1) (09:35:34 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469538) (09:35:38 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469538) (09:35:38 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469538) (09:35:38 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469538) (09:35:38 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469539) (09:35:39 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469539) (09:35:39 29/06/2022)
::1(admin)--query--tables(delete from table_online where time<1656469539) (09:35:39 29/06/2022)
